house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
250000,0.0065,No,7,4.09,296,15.3,0.538,1
219000,0.0268,No,6,4.9671,242,17.8,0.469,2
358000,0.0268,No,7,4.9671,242,17.8,0.469,2
340000,0.0298,No,7,6.0622,222,18.7,0.458,3
364000,0.0627,No,7,6.0622,222,18.7,0.458,3
295000,0.0281,No,6,6.0622,222,18.7,0.458,3
238000,0.0865,No,6,5.5605,311,15.2,0.524,5
280000,0.1548,No,6,5.9505,311,15.2,0.524,5
165000,0.2178,No,6,6.0821,311,15.2,0.524,5
199000,0.1554,No,6,6.5921,311,15.2,0.524,5
153000,0.2077,No,6,6.3467,311,15.2,0.524,5
190000,0.1248,No,6,6.2267,311,15.2,0.524,5
224000,0.0973,No,6,5.4509,311,15.2,0.524,5
212000,0.5836,No,6,4.7075,307,21,0.538,4
196000,0.6695,No,6,4.4619,307,21,0.538,4
202000,0.5925,No,6,4.4986,307,21,0.538,4
233000,1.0696,No,6,4.4986,307,21,0.538,4
187000,0.8425,No,6,4.2579,307,21,0.538,4
216000,0.7242,No,5,3.7965,307,21,0.538,4
183000,0.7982,No,6,3.7965,307,21,0.538,4
138000,1.3602,No,6,3.7979,307,21,0.538,4
206000,0.9174,No,6,4.0123,307,21,0.538,4
166000,1.3114,No,6,3.9769,307,21,0.538,4
152000,0.9125,No,6,4.0952,307,21,0.538,4
167000,0.7922,No,6,4.3996,307,21,0.538,4
144000,0.8325,No,6,4.4546,307,21,0.538,4
171000,0.6627,No,6,4.682,307,21,0.538,4
160000,0.9233,No,6,4.4534,307,21,0.538,4
192000,0.7119,No,6,4.4547,307,21,0.538,4
223000,0.9505,No,7,4.239,307,21,0.538,4
131000,1.0379,No,6,4.233,307,21,0.538,4
150000,1.2765,No,6,4.175,307,21,0.538,4
139000,1.5113,No,6,3.99,307,21,0.538,4
133000,1.0741,No,6,3.7872,307,21,0.538,4
145000,1.7738,No,6,3.7598,307,21,0.538,4
193000,0.0619,No,6,3.3603,279,19.2,0.499,5
207000,0.0898,No,6,3.3779,279,19.2,0.499,5
224000,0.0877,No,6,3.9342,279,19.2,0.499,5
251000,0.1737,No,6,3.8473,279,19.2,0.499,5
317000,0.025,No,7,5.4011,252,18.3,0.428,3
357000,0.0317,No,7,5.4011,252,18.3,0.428,3
267000,0.1381,No,7,5.7209,233,17.9,0.448,3
260000,0.1551,No,6,5.7209,233,17.9,0.448,3
260000,0.1706,No,6,5.7209,233,17.9,0.448,3
216000,0.1179,No,6,5.7209,233,17.9,0.448,3
195000,0.1803,No,6,5.1004,233,17.9,0.448,3
204000,0.187,No,6,5.1004,233,17.9,0.448,3
171000,0.2522,No,6,5.6894,233,17.9,0.448,3
153000,0.2444,No,5,5.87,233,17.9,0.448,3
207000,0.2266,No,6,6.0877,233,17.9,0.448,3
204000,0.0894,No,6,6.8147,243,16.8,0.439,4
220000,0.0442,No,6,6.8147,243,16.8,0.439,4
258000,0.0491,No,7,6.8147,243,16.8,0.439,4
241000,0.0542,No,6,6.8147,243,16.8,0.439,4
198000,0.0146,No,6,7.3197,469,21.1,0.41,3
365000,0.0137,No,7,8.6966,226,17.9,0.403,5
255000,0.019,No,6,9.1876,313,17.3,0.41,2
319000,0.0151,No,7,8.3248,256,15.1,0.411,5
247000,0.1472,No,6,7.8148,284,19.7,0.453,8
209000,0.0963,No,6,6.932,284,19.7,0.453,8
192000,0.1623,No,6,7.2254,284,19.7,0.453,8
160000,0.1759,No,6,6.8185,284,19.7,0.453,8
233000,0.1061,No,6,7.2255,284,19.7,0.453,8
251000,0.1312,No,7,7.9809,284,19.7,0.453,8
341000,0.0213,No,7,9.2229,216,18.6,0.4161,3
236000,0.0347,No,6,6.6115,337,16.1,0.398,4
208000,0.0456,No,6,6.6115,337,16.1,0.398,4
227000,0.0627,No,6,6.498,345,18.9,0.409,4
182000,0.1304,No,6,6.498,345,18.9,0.409,4
221000,0.129,No,6,6.498,345,18.9,0.409,4
248000,0.0958,No,6,5.2873,305,19.2,0.413,4
224000,0.1638,No,6,5.2873,305,19.2,0.413,4
238000,0.0827,No,6,5.2873,305,19.2,0.413,4
236000,0.1897,No,6,5.2873,305,19.2,0.413,4
254000,0.0758,No,6,4.2515,398,18.7,0.437,5
225000,0.0917,No,6,4.5026,398,18.7,0.437,5
210000,0.0989,No,6,4.0522,398,18.7,0.437,5
222000,0.0846,No,6,4.0905,398,18.7,0.437,5
218000,0.0583,No,6,5.0141,398,18.7,0.437,5
213000,0.0842,No,6,4.5026,398,18.7,0.437,5
287000,0.0422,No,7,5.4007,281,19,0.426,4
246000,0.0472,No,7,5.4007,281,19,0.426,4
253000,0.0394,No,6,5.4007,281,19,0.426,4
238000,0.0362,No,6,5.4007,281,19,0.426,4
245000,0.0529,No,6,4.7794,247,18.5,0.449,3
268000,0.0594,No,7,4.4377,247,18.5,0.449,3
226000,0.0551,No,6,4.4272,247,18.5,0.449,3
232000,0.0733,No,6,3.7476,247,18.5,0.449,3
